transport,traffic,roads,railway,poi,places,landuse,building,city_code,city,longitude,latitude
16.0,131.0,5157.0,105.0,78,202.0,427,904.0,340800,安庆市,116.4859918,30.57552958
90.0,36.0,3693.0,343.0,91,135.0,777,1540.0,340300,蚌埠市,117.3247233,33.10928673
5.0,6.0,4769.0,58.0,6,429.0,132,61.0,341600,亳州市,116.1802003,33.43557233
7.0,106.0,2262.0,112.0,16,201.0,135,951.0,341700,池州市,117.3641746,30.28325848
115.0,105.0,6554.0,320.0,113,381.0,895,3638.0,341100,滁州市,118.1023333,32.54422643
219.0,32.0,16689.0,624.0,145,1118.0,1272,7333.0,341200,阜阳市,115.704106,32.91708517
1171.0,365.0,22225.0,1029.0,491,1580.0,9740,6227.0,340100,合肥市,117.3550905,31.76262308
27.0,1.0,1704.0,232.0,33,91.0,77,176.0,340600,淮北市,116.7432627,33.72839774
430.0,51.0,7182.0,314.0,127,555.0,1137,1662.0,340400,淮南市,116.7680215,32.47255328
83.0,22.0,4886.0,303.0,796,998.0,278,291.0,341000,黄山市,118.0709463,29.90653054
24.0,37.0,7849.0,290.0,112,992.0,959,692.0,341500,六安市,116.2287615,31.6589212
102.0,174.0,6515.0,288.0,144,1461.0,3577,4148.0,340500,马鞍山市,118.3652036,31.63860487
8.0,27.0,3399.0,382.0,69,155.0,149,1684.0,341300,宿州市,117.2100079,33.85954517
43.0,78.0,1675.0,203.0,104,129.0,262,921.0,340700,铜陵市,117.5556273,30.88462337
79.0,282.0,5640.0,293.0,134,389.0,908,592.0,340200,芜湖市,118.1348385,31.16236504
21.0,48.0,4733.0,489.0,79,343.0,364,1121.0,341800,宣城市,118.8517787,30.68569806
674.0,160.0,10114.0,45.0,1613,55.0,1090,11004.0,820000,澳门特别行政区,113.5621671,22.16290883
6542.0,1606.0,88308.0,7011.0,12603,4097.0,9547,68185.0,110000,北京市,116.4126385,40.18563339
486.0,383.0,47653.0,1417.0,1112,1709.0,3185,21583.0,350100,福州市,119.2020247,26.04786074
102.0,88.0,7726.0,1012.0,144,426.0,670,1220.0,350800,龙岩市,116.7389397,25.29315682
84.0,107.0,10568.0,1326.0,270,933.0,2157,630.0,350700,南平市,118.1420958,27.33944484
186.0,193.0,16948.0,472.0,370,1377.0,950,494.0,350900,宁德市,119.4905083,26.97080303
58.0,96.0,6891.0,123.0,136,198.0,1047,141.0,350300,莆田市,118.9011022,25.44334621
36.0,173.0,14023.0,600.0,524,881.0,1209,1204.0,350500,泉州市,118.2648574,25.19265575
138.0,78.0,9426.0,788.0,114,460.0,752,2056.0,350400,三明市,117.3958118,26.29945447
555.0,204.0,12748.0,532.0,850,119.0,1095,5752.0,350200,厦门市,118.1203398,24.66184087
33.0,157.0,17953.0,477.0,220,817.0,1077,934.0,350600,漳州市,117.4538756,24.33173139
61.0,91.0,6708.0,337.0,87,1095.0,2029,2936.0,620400,白银市,104.6216216,36.61350215
31.0,71.0,11481.0,371.0,142,1587.0,3083,2638.0,621100,定西市,104.4529881,35.11963209
8.0,20.0,4081.0,1e-06,214,1066.0,694,1414.0,623000,甘南藏族自治州,102.7645258,34.32153236
16.0,14.0,984.0,748.0,146,6.0,73,206.0,620200,嘉峪关市,98.21052423,39.82837139
1e-06,10.0,1372.0,385.0,16,99.0,82,172.0,620300,金昌市,102.0434659,38.43220687
72.0,106.0,8212.0,776.0,384,239.0,765,3803.0,620900,酒泉市,96.05604704,40.26035992
1371.0,201.0,24362.0,2460.0,2012,893.0,5005,30943.0,620100,兰州市,103.6380054,36.35519362
20.0,69.0,8839.0,68.0,231,749.0,1546,3514.0,622900,临夏回族自治州,103.2873444,35.62419073
27.0,33.0,9621.0,232.0,60,2805.0,1777,2042.0,621200,陇南市,105.2219039,33.59690725
19.0,35.0,5098.0,355.0,67,993.0,979,1335.0,620800,平凉市,106.6479524,35.30587369
23.0,33.0,6423.0,227.0,112,571.0,616,3411.0,621000,庆阳市,107.5905094,36.16249081
674.0,43.0,14409.0,878.0,419,1551.0,4730,6905.0,620500,天水市,105.7377839,34.64732994
24.0,28.0,4122.0,322.0,106,431.0,617,472.0,620600,武威市,103.0572447,38.17552027
39.0,69.0,4334.0,344.0,224,237.0,473,370.0,620700,张掖市,99.82270207,38.9557895
64.0,98.0,8363.0,113.0,315,923.0,1002,1937.0,445100,潮州市,116.7855457,23.78554642
119.0,195.0,18968.0,555.0,358,586.0,1202,5939.0,441900,东莞市,113.874986,22.9345278
3156.0,263.0,37721.0,796.0,493,934.0,3807,4401.0,440600,佛山市,112.944453,23.00652761
9941.0,726.0,71937.0,3431.0,3923,659.0,5326,21746.0,440100,广州市,113.5390412,23.33085285
14.0,52.0,4478.0,585.0,13,1558.0,108,142.0,441600,河源市,114.9578225,24.04461582
49.0,153.0,12553.0,415.0,199,1455.0,605,1920.0,441300,惠州市,114.5027026,23.23510341
1563.0,303.0,27379.0,137.0,962,5942.0,9924,5987.0,440700,江门市,112.6725521,22.26739023
6.0,40.0,5253.0,141.0,63,1481.0,648,1084.0,445200,揭阳市,116.1197969,23.33613639
16.0,53.0,5397.0,315.0,85,2867.0,314,282.0,440900,茂名市,110.9534848,22.01009072
35.0,99.0,7356.0,328.0,92,2396.0,255,1193.0,441400,梅州市,116.0794106,24.20307298
967.0,134.0,13148.0,588.0,289,1965.0,1959,1527.0,441800,清远市,112.8749874,24.31430554
260.0,193.0,7810.0,90.0,196,638.0,1237,6318.0,440500,汕头市,116.5955695,23.33031228
4.0,61.0,4497.0,178.0,26,992.0,375,419.0,441500,汕尾市,115.5889047,22.875304
84.0,83.0,5312.0,661.0,95,1536.0,234,251.0,440200,韶关市,113.7745134,24.82036632
2070.0,771.0,42693.0,1280.0,2608,655.0,4175,21952.0,440300,深圳市,114.1371684,22.64531697
15.0,67.0,3850.0,113.0,81,1426.0,765,101.0,441700,阳江市,111.7745686,22.02781209
217.0,52.0,4982.0,453.0,425,1304.0,709,3854.0,445300,云浮市,111.7936589,22.81603286
40.0,177.0,9370.0,402.0,142,3510.0,1263,5287.0,440800,湛江市,110.1649401,21.07534974
47.0,121.0,10376.0,773.0,460,2059.0,1513,922.0,441200,肇庆市,112.2053303,23.53770546
482.0,112.0,14364.0,83.0,231,588.0,1068,13170.0,442000,中山市,113.393566,22.51990101
3149.0,242.0,14130.0,124.0,535,332.0,1347,3533.0,440400,珠海市,113.3622223,22.15191816
43.0,191.0,12427.0,929.0,89,2147.0,3060,3092.0,451000,百色市,106.2877601,23.98527037
