city_code,city,population
110000,北京市,13569194
120000,天津市,9848731
130100,石家庄市,9241186
130200,唐山市,7040554
130300,秦皇岛市,2753962
130400,邯郸市,8386814
130500,邢台市,6645766
130600,保定市,10471123
130700,张家口市,4191035
130800,承德市,3324121
130900,沧州市,6639501
131000,廊坊市,3833444
131100,衡水市,4156913
140100,太原市,3344392
140200,大同市,3001508
140300,阳泉市,1273126
140400,长治市,3138991
140500,晋城市,2160984
140600,朔州市,1451875
140700,晋中市,3016536
140800,运城市,4812361
140900,忻州市,2938344
141000,临汾市,3950845
141100,吕梁市,3382280
150100,呼和浩特市,2392895
150200,包头市,2254439
150300,乌海市,427553
150400,赤峰市,4435737
150500,通辽市,3028419
150600,鄂尔多斯市,1369766
150700,呼伦贝尔市,2687228
150800,巴彦淖尔市,1682662
150900,乌兰察布市,2284414
152200,兴安盟,1588787
152500,锡林郭勒盟,975168
152900,阿拉善盟,196279
210100,沈阳市,7203717
210200,大连市,5893692
210300,鞍山市,3584039
210400,抚顺市,2260290
210500,本溪市,1567408
210600,丹东市,2390524
210700,锦州市,3076735
210800,营口市,2296540
210900,阜新市,1889774
211000,辽阳市,1801207
211100,盘锦市,1261753
211200,铁岭市,2823220
211300,朝阳市,3194828
211400,葫芦岛市,2580685
220100,长春市,8177174
220200,吉林市,4485494
220300,四平市,2250591
220400,辽源市,1267033
220500,通化市,2307964
220600,白山市,1312362
220700,松原市,2766036
220800,白城市,2025891
222400,延边朝鲜族自治州,2209646
230100,哈尔滨市,9413359
230200,齐齐哈尔市,5419621
230300,鸡西市,1946057
230400,鹤岗市,1099079
230500,双鸭山市,1448349
230600,大庆市,2578051
230700,伊春市,1249621
230800,佳木斯市,2358310
230900,七台河市,807440
231000,牡丹江市,2684495
231100,黑河市,1671811
231200,绥化市,5055541
232700,大兴安岭地区,505842
410500,安阳市,5161106
310000,上海市,16407734
320100,南京市,6126165
320300,徐州市,8913965
320200,无锡市,5086586
320400,常州市,3776270
320500,苏州市,6792239
320700,连云港市,4569913
320800,淮安市,5038231
320600,南通市,7512919
320900,盐城市,7946544
321000,扬州市,4588554
321100,镇江市,2844856
321300,宿迁市,5061576
321200,泰州市,4785759
330100,杭州市,6878722
330300,温州市,7557640
330200,宁波市,5963362
330400,嘉兴市,3582996
330500,湖州市,2625595
330600,绍兴市,4304241
330800,衢州市,2128856
330700,金华市,4571881
330900,舟山市,1001530
331100,丽水市,2162113
331000,台州市,5153715
340100,合肥市,6392122
340300,蚌埠市,3288329
340400,淮南市,3153218
340200,芜湖市,3473717
340600,淮北市,1878164
340500,马鞍山市,2087331
340700,铜陵市,1442667
341000,黄山市,1370377
340800,安庆市,4422049
341200,阜阳市,8003963
341300,宿州市,5516423
341500,六安市,4842084
341600,亳州市,5078908
341100,滁州市,4001488
341700,池州市,1389469
350100,福州市,6386015
350200,厦门市,2053070
350300,莆田市,2727923
350400,三明市,2574075
350500,泉州市,7283040
350600,漳州市,4581675
350700,南平市,2816581
350800,龙岩市,2684310
350900,宁德市,2991258
360100,南昌市,4331668
360200,景德镇市,1453367
360300,萍乡市,1724732
360400,九江市,4401248
360500,新余市,1071820
360600,鹰潭市,1027075
360700,赣州市,7396873
