city_code,city,population
110000,北京市,23000000.0
120000,天津市,15000000.0
130100,石家庄市,2300000.0
130200,唐山市,7000000.0
130300,秦皇岛市,3200000.0
130400,邯郸市,9000000.0
130500,邢台市,6500000.0
130600,保定市,7000000.0
130700,张家口市,3500000.0
130800,承德市,3000000.0
130900,沧州市,7000000.0
131000,廊坊市,6500000.0
131100,衡水市,5000000.0
410500,安阳市,5500000.0
310000,上海市,26000000.0
320100,南京市,10000000.0
320200,无锡市,8500000.0
320400,常州市,6000000.0
320500,苏州市,13700000.0
320600,南通市,17000000.0
320900,盐城市,6000000.0
321000,扬州市,5000000.0
321100,镇江市,3300000.0
321200,泰州市,4500000.0
330100,杭州市,13700000.0
330200,宁波市,9700000.0
330400,嘉兴市,6000000.0
330500,湖州市,3800000.0
330600,绍兴市,5800000.0
330700,金华市,6000000.0
330900,舟山市,1200000.0
331000,台州市,7000000.0
340100,合肥市,8200000.0
340200,芜湖市,4000000.0
340500,马鞍山市,2000000.0
340700,铜陵市,1000000.0
340800,安庆市,3500000.0
341100,滁州市,3800000.0
341700,池州市,1000000.0
341800,宣城市,2300000.0
440100,广州市,21000000.0
440300,深圳市,14000000.0
440400,珠海市,5000000.0
440600,佛山市,9500000.0
440700,江门市,5300000.0
441200,肇庆市,4000000.0
441300,惠州市,7500000.0
441900,东莞市,9600000.0
442000,中山市,5300000.0
