开始城市,结束城市,实际迁徙指数
七台河,佳木斯,4.769999999999998
七台河,双鸭山,2.719444444444443
七台河,哈尔滨,8.001944444444446
七台河,牡丹江,1.9208333333333332
七台河,绥化,0.11027777777777778
七台河,鸡西,6.049444444444446
七台河,黑河,0.0011111111111111113
万宁,三亚,29.181666666666654
万宁,保亭黎族苗族自治县,0.185
万宁,儋州,5.05027777777778
万宁,文昌,4.21027777777778
万宁,海口,21.302777777777784
万宁,琼海,20.943611111111117
万宁,陵水黎族自治县,21.906111111111112
三亚,万宁,21.84888888888889
三亚,三沙,0.0011111111111111113
三亚,东方,10.209722222222224
三亚,乐东黎族自治县,38.76749999999999
三亚,五指山,9.645833333333336
三亚,保亭黎族苗族自治县,29.68
三亚,儋州,7.2875
三亚,文昌,2.8191666666666673
三亚,昌江黎族自治县,1.235277777777778
三亚,海口,29.079722222222212
三亚,澄迈县,0.9794444444444445
三亚,琼中黎族苗族自治县,0.07027777777777779
三亚,琼海,9.043888888888885
三亚,陵水黎族自治县,97.7961111111111
三明,南平,35.532222222222224
三明,厦门,28.238055555555547
三明,宁德,5.2891666666666675
三明,泉州,62.134722222222216
三明,漳州,10.669166666666667
三明,福州,42.19527777777779
三明,莆田,14.301388888888892
三明,龙岩,21.066111111111113
三门峡,洛阳,78.98305555555554
三门峡,郑州,31.996388888888866
上海,南京,17.855000000000004
上海,南通,347.08888888888885
上海,合肥,5.278888888888889
上海,嘉兴,619.9363888888888
上海,宁波,74.44944444444442
上海,安庆,1.7822222222222222
上海,常州,35.48833333333332
上海,无锡,167.07249999999996
上海,杭州,210.7805555555556
上海,泰州,7.697499999999999
上海,湖州,51.207222222222214
上海,盐城,12.04833333333333
上海,绍兴,1.6816666666666666
上海,舟山,4.190833333333333
上海,芜湖,0.8027777777777778
上海,苏州,2606.734999999999
上饶,九江,32.66583333333334
上饶,南昌,108.23833333333336
上饶,吉安,8.342777777777778
上饶,宜春,16.781111111111112
上饶,抚州,46.55888888888887
上饶,新余,3.185555555555556
上饶,景德镇,100.29277777777774
上饶,萍乡,3.6711111111111094
上饶,赣州,13.81388888888889
上饶,金华,18.0925
上饶,鹰潭,60.33916666666665
东方,三亚,10.128611111111116
东方,乐东黎族自治县,11.188055555555561
东方,儋州,6.927499999999997
东方,昌江黎族自治县,7.620277777777776
东方,海口,9.873055555555558
东莞,中山,512.9752777777777
东莞,云浮,4.257777777777778
东莞,佛山,1305.809166666667
东莞,广州,5139.891111111115
东莞,惠州,3771.276666666667
东莞,揭阳,9.293333333333335
东莞,梅州,17.65666666666667
东莞,永州,1.1738888888888892
东莞,汕尾,0.6816666666666666
东莞,江门,213.0322222222222
东莞,河源,44.326944444444436
东莞,深圳,12223.655555555566
东莞,清远,50.69222222222223
东莞,湛江,12.314444444444446
东莞,澳门特别行政区,1.166111111111111
东莞,珠海,169.0544444444444
东莞,肇庆,94.13138888888889
东莞,茂名,55.88083333333332
东莞,邵阳,1.3275
东莞,阳江,1.8916666666666666
东莞,韶关,1.8955555555555557
东莞,香港特别行政区,0.5061111111111111
东营,济南,33.98888888888889
东营,淄博,47.440833333333345
东营,滨州,120.41166666666665
东营,潍坊,100.62916666666666
东营,青岛,8.489166666666666
中卫,吴忠,48.83666666666666
中卫,固原,24.80555555555555
中卫,石嘴山,4.834999999999998
中卫,银川,42.05055555555556
中山,东莞,468.49027777777786
中山,佛山,2102.258611111109
中山,广州,1529.060277777778
中山,惠州,60.150000000000006
中山,江门,921.6441666666664
中山,深圳,407.9297222222222
中山,湛江,1.4594444444444443
中山,澳门特别行政区,3.665
中山,珠海,2275.769999999999
中山,肇庆,60.361666666666665
中山,茂名,5.529444444444444
中山,香港特别行政区,0.1388888888888889
临夏回族,兰州,33.81361111111112
临夏回族,天水,0.9661111111111108
临夏回族,定西,11.661666666666664
临夏回族,武威,0.4752777777777778
临夏回族,甘南藏族,7.786944444444446
临夏回族,白银,1.4494444444444439
