transport,traffic,roads,railway,poi,places,landuse,building,city,city_code,longitude,latitude
5.0,5.0,675.0,47.0,2.0,52.0,83.0,166.0,安庆市,340800,116.48599180000001,30.57552958
9.0,11.0,823.0,125.0,18.0,19.0,68.0,110.0,蚌埠市,340300,117.3247233,33.10928673
1.0,1e-06,20.0,5.0,1e-06,12.0,3.0,1e-06,亳州市,341600,116.1802003,33.43557233
2.0,2.0,206.0,15.0,1e-06,16.0,3.0,1e-06,池州市,341700,117.3641746,30.28325848
4.0,5.0,482.0,34.0,1.0,25.0,23.0,26.0,滁州市,341100,118.10233329999998,32.54422643
8.0,3.0,589.0,20.0,22.0,314.0,64.0,84.0,阜阳市,341200,115.70410600000001,32.91708517
12.0,11.0,1728.0,169.0,22.0,28.0,95.0,36.0,合肥市,340100,117.3550905,31.76262308
2.0,1e-06,169.0,54.0,1e-06,5.0,9.0,3.0,淮北市,340600,116.7432627,33.72839774
2.0,1e-06,180.0,27.0,1e-06,14.0,14.0,7.0,淮南市,340400,116.7680215,32.47255328
13.0,4.0,1052.0,58.0,138.0,297.0,52.0,50.0,黄山市,341000,118.0709463,29.90653054
5.0,4.0,519.0,26.0,1.0,72.0,13.0,92.0,六安市,341500,116.2287615,31.658921199999998
8.0,1.0,657.0,14.0,7.0,273.0,89.0,2.0,马鞍山市,340500,118.36520359999999,31.63860487
1.0,1e-06,217.0,2.0,1e-06,6.0,1.0,1e-06,宿州市,341300,117.21000790000001,33.85954517
2.0,1e-06,82.0,4.0,1e-06,13.0,5.0,1e-06,铜陵市,340700,117.5556273,30.88462337
6.0,16.0,708.0,61.0,1e-06,51.0,19.0,76.0,芜湖市,340200,118.1348385,31.16236504
12.0,5.0,477.0,113.0,7.0,48.0,15.0,3.0,宣城市,341800,118.8517787,30.68569806
426.0,15.0,2141.0,1e-06,31.0,6.0,160.0,1203.0,澳门特别行政区,820000,113.56216709999998,22.16290883
5086.0,588.0,41917.0,3560.0,3936.0,400.0,1238.0,8972.0,北京市,110000,116.4126385,40.18563339
17.0,25.0,2195.0,102.0,101.0,102.0,118.0,66.0,福州市,350100,119.2020247,26.04786074
7.0,13.0,1126.0,194.0,3.0,103.0,58.0,37.0,龙岩市,350800,116.73893970000002,25.29315682
13.0,1e-06,637.0,71.0,3.0,43.0,13.0,7.0,南平市,350700,118.14209579999999,27.33944484
4.0,10.0,1420.0,71.0,1.0,129.0,117.0,20.0,宁德市,350900,119.49050829999999,26.97080303
4.0,3.0,398.0,35.0,7.0,69.0,9.0,18.0,莆田市,350300,118.90110220000001,25.44334621
13.0,19.0,2223.0,248.0,90.0,178.0,65.0,88.0,泉州市,350500,118.2648574,25.19265575
14.0,3.0,1339.0,116.0,14.0,91.0,32.0,19.0,三明市,350400,117.3958118,26.29945447
99.0,49.0,5099.0,142.0,139.0,54.0,194.0,640.0,厦门市,350200,118.12033980000001,24.66184087
8.0,9.0,1325.0,150.0,17.0,116.0,60.0,65.0,漳州市,350600,117.4538756,24.33173139
14.0,2.0,500.0,145.0,1.0,14.0,19.0,29.0,白银市,620400,104.62162159999998,36.61350215
1e-06,1e-06,840.0,24.0,2.0,190.0,128.0,31.0,定西市,621100,104.4529881,35.11963209
1e-06,1.0,231.0,1e-06,7.0,526.0,27.0,4.0,甘南藏族自治州,623000,102.76452579999999,34.32153236
1.0,4.0,542.0,31.0,68.0,1.0,57.0,1e-06,嘉峪关市,620200,98.21052423,39.82837139
1e-06,3.0,309.0,1.0,1e-06,3.0,7.0,1e-06,金昌市,620300,102.04346590000002,38.43220687
14.0,9.0,2496.0,129.0,75.0,32.0,300.0,96.0,酒泉市,620900,96.05604704,40.26035992
28.0,2.0,1913.0,126.0,14.0,14.0,77.0,143.0,兰州市,620100,103.6380054,36.35519362
2.0,2.0,233.0,2.0,4.0,17.0,15.0,1.0,临夏回族自治州,622900,103.2873444,35.62419073
5.0,1.0,291.0,65.0,1e-06,518.0,66.0,45.0,陇南市,621200,105.22190390000002,33.59690725
7.0,1.0,406.0,166.0,8.0,10.0,48.0,1e-06,平凉市,620800,106.6479524,35.30587369
1e-06,1.0,215.0,1e-06,4.0,16.0,12.0,1e-06,庆阳市,621000,107.5905094,36.16249081
2.0,1e-06,805.0,145.0,1.0,42.0,59.0,4.0,天水市,620500,105.73778390000001,34.64732994
9.0,3.0,647.0,61.0,9.0,12.0,63.0,2.0,武威市,620600,103.0572447,38.17552027
1.0,5.0,623.0,46.0,16.0,13.0,70.0,3.0,张掖市,620700,99.82270207,38.9557895
5.0,5.0,814.0,31.0,59.0,786.0,227.0,382.0,潮州市,445100,116.7855457,23.78554642
20.0,5.0,1655.0,27.0,42.0,572.0,19.0,31.0,东莞市,441900,113.874986,22.9345278
26.0,6.0,9664.0,82.0,35.0,884.0,747.0,151.0,佛山市,440600,112.944453,23.00652761
306.0,35.0,8945.0,299.0,242.0,66.0,229.0,707.0,广州市,440100,113.5390412,23.33085285
3.0,6.0,871.0,397.0,3.0,1511.0,10.0,9.0,河源市,441600,114.9578225,24.04461582
3.0,27.0,2015.0,94.0,4.0,1299.0,36.0,336.0,惠州市,441300,114.50270259999998,23.23510341
35.0,45.0,6416.0,28.0,215.0,2252.0,119.0,492.0,江门市,440700,112.67255209999999,22.26739023
1.0,6.0,521.0,68.0,3.0,1470.0,36.0,2.0,揭阳市,445200,116.1197969,23.33613639
2.0,6.0,353.0,7.0,4.0,2495.0,26.0,34.0,茂名市,440900,110.9534848,22.01009072
7.0,11.0,848.0,131.0,2.0,2340.0,7.0,15.0,梅州市,441400,116.07941059999999,24.20307298
3.0,15.0,2259.0,73.0,5.0,1642.0,19.0,24.0,清远市,441800,112.87498740000001,24.31430554
4.0,2.0,735.0,28.0,32.0,572.0,22.0,14.0,汕头市,440500,116.59556950000001,23.33031228
1e-06,12.0,490.0,47.0,1e-06,917.0,50.0,1e-06,汕尾市,441500,115.5889047,22.875304
11.0,3.0,781.0,58.0,7.0,1485.0,15.0,4.0,韶关市,440200,113.7745134,24.82036632
247.0,130.0,11379.0,314.0,288.0,214.0,405.0,1537.0,深圳市,440300,114.13716840000001,22.64531697
3.0,7.0,544.0,44.0,1.0,1266.0,15.0,2.0,阳江市,441700,111.7745686,22.02781209
3.0,6.0,372.0,24.0,6.0,1048.0,5.0,1.0,云浮市,445300,111.79365890000001,22.81603286
10.0,3.0,1607.0,96.0,3.0,3421.0,49.0,477.0,湛江市,440800,110.16494009999998,21.07534974
1.0,7.0,1433.0,29.0,3.0,1904.0,120.0,52.0,肇庆市,441200,112.20533030000001,23.53770546
137.0,17.0,2930.0,41.0,17.0,398.0,239.0,144.0,中山市,442000,113.39356599999999,22.51990101
460.0,107.0,3394.0,17.0,83.0,244.0,662.0,1516.0,珠海市,440400,113.3622223,22.15191816
7.0,9.0,566.0,133.0,5.0,61.0,70.0,16.0,百色市,451000,106.2877601,23.98527037
12.0,1.0,300.0,19.0,43.0,10.0,4.0,98.0,北海市,450500,109.33768459999999,21.66203636
12.0,2.0,416.0,6.0,5.0,50.0,28.0,1.0,崇左市,451400,107.2738385,22.50297143
2.0,3.0,188.0,1e-06,1e-06,10.0,32.0,1e-06,防城港市,450600,108.0128443,21.87172979
1.0,1e-06,229.0,10.0,1e-06,14.0,4.0,1e-06,贵港市,450800,109.9984528,23.30907478
28.0,6.0,1648.0,83.0,96.0,44.0,94.0,32.0,桂林市,450300,110.51323670000001,25.35528295
2.0,1e-06,160.0,1.0,12.0,24.0,2.0,10.0,河池市,451200,107.84196100000001,24.64294762
1e-06,1.0,124.0,1e-06,1.0,25.0,7.0,1e-06,贺州市,451100,111.3608713,24.35975362
1.0,1.0,189.0,31.0,1e-06,19.0,48.0,1e-06,来宾市,451300,109.4121719,23.85392639
11.0,21.0,1652.0,149.0,14.0,22.0,101.0,299.0,柳州市,450200,109.37084490000001,24.94742713
19.0,3.0,1010.0,190.0,12.0,14.0,27.0,25.0,南宁市,450100,108.4636676,23.05718804
2.0,1e-06,414.0,78.0,1e-06,6.0,27.0,180.0,钦州市,450700,109.01577320000001,22.17366078
