,transport,traffic,roads,railway,poi,places,landuse,building,city,city_code,longitude,latitude
0,27.0,139.0,5777.0,138.0,88.0,285.0,577.0,1097.0,安庆市,340800,116.48599180000001,30.57552958
1,91.0,58.0,4752.0,351.0,99.0,141.0,983.0,1734.0,蚌埠市,340300,117.3247233,33.10928673
2,27.0,19.0,5684.0,98.0,6.0,437.0,369.0,271.0,亳州市,341600,116.1802003,33.43557233
3,16.0,117.0,2687.0,115.0,21.0,296.0,248.0,1027.0,池州市,341700,117.3641746,30.28325848
4,122.0,124.0,7117.0,336.0,120.0,427.0,1423.0,3721.0,滁州市,341100,118.10233329999998,32.54422643
5,245.0,62.0,18169.0,853.0,192.0,1143.0,1443.0,7706.0,阜阳市,341200,115.70410600000001,32.91708517
6,1203.0,418.0,24091.0,1436.0,488.0,1838.0,10371.0,6750.0,合肥市,340100,117.3550905,31.76262308
7,53.0,1.0,1932.0,257.0,24.0,71.0,179.0,177.0,淮北市,340600,116.7432627,33.72839774
8,456.0,55.0,7573.0,367.0,127.0,558.0,1243.0,1682.0,淮南市,340400,116.7680215,32.47255328
9,97.0,71.0,12781.0,334.0,772.0,3714.0,5432.0,6643.0,黄山市,341000,118.0709463,29.90653054
10,32.0,65.0,9041.0,308.0,100.0,1195.0,1265.0,867.0,六安市,341500,116.2287615,31.658921199999998
11,155.0,185.0,7089.0,510.0,157.0,1487.0,3967.0,4423.0,马鞍山市,340500,118.36520359999999,31.63860487
12,52.0,32.0,3759.0,388.0,70.0,175.0,332.0,1829.0,宿州市,341300,117.21000790000001,33.85954517
13,46.0,82.0,1754.0,202.0,104.0,139.0,321.0,930.0,铜陵市,340700,117.5556273,30.88462337
14,122.0,309.0,7014.0,351.0,71.0,506.0,1096.0,1070.0,芜湖市,340200,118.1348385,31.16236504
15,26.0,100.0,6372.0,565.0,97.0,988.0,892.0,1293.0,宣城市,341800,118.8517787,30.68569806
16,685.0,177.0,10682.0,45.0,1675.0,61.0,1169.0,11107.0,澳门特别行政区,820000,113.56216709999998,22.16290883
17,7457.0,2477.0,120351.0,7966.0,14156.0,5567.0,19892.0,81471.0,北京市,110000,116.4126385,40.18563339
18,511.0,466.0,52587.0,1681.0,1470.0,2074.0,3887.0,22685.0,福州市,350100,119.2020247,26.04786074
19,165.0,100.0,9131.0,1084.0,183.0,444.0,834.0,1413.0,龙岩市,350800,116.73893970000002,25.29315682
20,89.0,127.0,11433.0,1781.0,253.0,1004.0,2285.0,689.0,南平市,350700,118.14209579999999,27.33944484
21,215.0,244.0,17968.0,530.0,450.0,1389.0,1699.0,689.0,宁德市,350900,119.49050829999999,26.97080303
22,60.0,107.0,7497.0,129.0,109.0,227.0,1068.0,260.0,莆田市,350300,118.90110220000001,25.44334621
23,94.0,198.0,15650.0,775.0,798.0,919.0,1297.0,1484.0,泉州市,350500,118.2648574,25.19265575
24,138.0,91.0,11011.0,1003.0,113.0,525.0,899.0,2220.0,三明市,350400,117.3958118,26.29945447
25,643.0,238.0,14481.0,552.0,1179.0,123.0,1317.0,5974.0,厦门市,350200,118.12033980000001,24.66184087
26,38.0,185.0,19843.0,477.0,250.0,894.0,1147.0,1055.0,漳州市,350600,117.4538756,24.33173139
27,178.0,92.0,10300.0,396.0,152.0,1292.0,2950.0,4523.0,白银市,620400,104.62162159999998,36.61350215
28,53.0,74.0,14013.0,478.0,233.0,1834.0,3891.0,4546.0,定西市,621100,104.4529881,35.11963209
29,8.0,21.0,4325.0,1e-06,218.0,1012.0,752.0,2136.0,甘南藏族自治州,623000,102.76452579999999,34.32153236
30,19.0,27.0,1199.0,752.0,263.0,6.0,263.0,277.0,嘉峪关市,620200,98.21052423,39.82837139
31,4.0,12.0,1823.0,388.0,98.0,101.0,533.0,198.0,金昌市,620300,102.04346590000002,38.43220687
32,82.0,139.0,9487.0,810.0,783.0,348.0,1315.0,4165.0,酒泉市,620900,96.05604704,40.26035992
33,1486.0,228.0,26620.0,2696.0,2399.0,965.0,5488.0,35042.0,兰州市,620100,103.6380054,36.35519362
34,26.0,77.0,9979.0,24.0,255.0,798.0,1938.0,4202.0,临夏回族自治州,622900,103.2873444,35.62419073
35,46.0,35.0,12571.0,246.0,349.0,3039.0,2761.0,3032.0,陇南市,621200,105.22190390000002,33.59690725
36,41.0,51.0,8245.0,451.0,104.0,1100.0,1517.0,2941.0,平凉市,620800,106.6479524,35.30587369
37,56.0,49.0,9845.0,604.0,177.0,657.0,909.0,4384.0,庆阳市,621000,107.5905094,36.16249081
38,688.0,59.0,16532.0,1044.0,534.0,1607.0,5261.0,8943.0,天水市,620500,105.73778390000001,34.64732994
39,30.0,56.0,6535.0,412.0,542.0,454.0,2616.0,793.0,武威市,620600,103.0572447,38.17552027
40,39.0,91.0,4853.0,362.0,234.0,244.0,737.0,486.0,张掖市,620700,99.82270207,38.9557895
41,66.0,113.0,9599.0,124.0,342.0,1232.0,1440.0,1984.0,潮州市,445100,116.7855457,23.78554642
42,148.0,236.0,20635.0,656.0,339.0,587.0,1428.0,6471.0,东莞市,441900,113.874986,22.9345278
43,3547.0,341.0,40984.0,990.0,555.0,933.0,4323.0,5643.0,佛山市,440600,112.944453,23.00652761
44,11416.0,997.0,86357.0,4157.0,4169.0,937.0,6610.0,40572.0,广州市,440100,113.5390412,23.33085285
45,21.0,86.0,5824.0,919.0,18.0,1597.0,441.0,173.0,河源市,441600,114.9578225,24.04461582
46,693.0,196.0,16857.0,485.0,221.0,1481.0,1032.0,2332.0,惠州市,441300,114.50270259999998,23.23510341
47,1564.0,327.0,28637.0,246.0,1044.0,5953.0,10114.0,6104.0,江门市,440700,112.67255209999999,22.26739023
