city_code,city,population
110000,北京市,21886000.0
120000,天津市,13730000.0
130100,石家庄市,11204700.0
130200,唐山市,7717983.0
130300,秦皇岛市,3137000.0
130400,邯郸市,9366900.0
130500,邢台市,7111106.0
130600,保定市,9242400.0
130700,张家口市,4099000.0
130800,承德市,3350000.0
130900,沧州市,7795400.0
131000,廊坊市,5460000.0
131100,衡水市,4589000.0
410500,安阳市,5477614.0
310000,上海市,24890000.0
320100,南京市,9423400.0
320200,无锡市,7460000.0
320400,常州市,3881600.0
320500,苏州市,7621100.0
320600,南通市,7733000.0
320900,盐城市,6709629.0
321000,扬州市,4577000.0
321100,镇江市,3210400.0
321200,泰州市,4521800.0
330100,杭州市,12204000.0
330200,宁波市,9544000.0
330400,嘉兴市,5516000.0
330500,湖州市,3407000.0
330600,绍兴市,5270000.0
330700,金华市,7050000.0
330900,舟山市,1165000.0
331000,台州市,6001700.0
340100,合肥市,9465000.0
340200,芜湖市,3672000.0
340500,马鞍山市,2159900.0
340700,铜陵市,1306000.0
340800,安庆市,4165284.0
341100,滁州市,3990000.0
341700,池州市,1331000.0
341800,宣城市,2487000.0
440100,广州市,18810600.0
440300,深圳市,17560100.0
440400,珠海市,2466700.0
440600,佛山市,9612600.0
440700,江门市,4835100.0
441200,肇庆市,4298200.0
441300,惠州市,6066000.0
441900,东莞市,10536800.0
442000,中山市,4466900.0
